id,comment
来吸熊猫吧,#大学生# #社会百态#  如何0接触接高风险返乡大学生回家，家人开两辆车来让学生自己开车回家，这时候就体现学驾照的重要性！不然得骑三蹦子！ 网坛快报的微博视频 
石一童,临场表现一年的努力💪我的队员们太帅了#大学生##篮球教练# 
跑野大爆炸,随着青柿響的冲线，驹泽大学获得第 99 回箱根驿传冠军，也让三冠王的梦想终于在今年得以实现，他们成为第五所获得三冠王的日本大学，他们用努力让自己成为传奇。#跑步##箱根驿传##驹泽大学##大学生##跑野大爆炸# 跑野大爆炸的微博视频 
奶栋是学霸,谁还没经历过行李箱零件离家出走？今天4招教你选对行李箱十年不用换！#行李箱# #大学生# #学生党# 奶栋是学霸的微博视频 
网友张浩然H,宿舍vlog#大学生##健身# 
吃定彩虹_emo版,一些上过大学的证据#大学生# 榆林 
胖娱鸭鸭,当代大学生在家辅导高中生写作业能有多敷衍！！#大学生 ##高中生 # 胖娱鸭鸭的微博视频 
联想中国,今日冬至，大学生温暖公益行第六季，开启全国招募！用青春的力量守护幼小的心灵，温暖美好家乡，#美好假期#益起同行#大学生##联想公益# 
安思逾,#大学生##今日妆容##自拍# 有宝宝说我的微博不够看还没转阴 只能在家拍拍 太原 
姚淑菲,#湖北新增本土确诊26例本土无症状623例##大学生# #武汉疫情#   每天在家待着，天天按时下楼做核酸，给我做成密接了。然后我和上门核酸的工作人员吐槽，他说怪我自己倒霉 武汉·吴家山 
浅兮颖韵,苏州城市学院 封三天了，苏州疫情这么复杂严峻，真的还不遣返大学生回家吗？大部分同学心理健康已经出现问题了，总不能看其他学校不遣返苏城院跟着学吧，这么多学校里出现问题，全国这么多高校都遣返了，求求为学生的安全考虑吧#遣返##大学生# 
野马分鬃放飞自我,#疫情# 🙏#求助# 北京疫情防控办和北体踢皮球#大学生# 北京·北京体育大学 
离光璇疯,#捡到校园卡却被对方以为要追她#有几个疑点，我觉得这就是自导自演的段子。捡到校园卡的男生如何加的女生？我记得校园卡是没有联系方式吧，这就是带大学生的节奏现在的大学生的智力都如此不正常吗？什么男盆友、室友都来跟人聊天，我今天看这条热搜的时候感觉莫名其妙，看聊天记录的对话都是很刻意 ...全文
马方说管理,怎么看大学生往乡村走？#认知# #思考# #大学生# 马方说管理的微博视频 
TedNYC,昨天去看了我们普林斯顿主场迎战康奈尔的橄榄球比赛，普林斯顿35:9大胜，赛后校园里各种庆祝，10度的天气校乐队们泡在水池里演奏也是不怕冷！Go tigers🐯🐯🐯!!!#大学##留学##美国留学##普林斯顿##大学生# #运动员#  TedNYC的微博视频 
吉吉快跑呀,大学请假理由，百试百灵！赶紧教你的小伙伴来偷偷看！#大学生##好物推荐##爆笑课代表挑战赛# 吉吉快跑呀的微博视频 
中医韩娟,不愧是中医院校应时到节的，昨天学校还给每个学生都发了好大的梨，没有我的，我就没拍照 #大学生# 天津·天津中医药大学(新校区) 
离光璇疯,#捡到校园卡却被对方以为要追她#有几个疑点，我觉得这就是自导自演的段子。捡到校园卡的男生如何加的女生？我记得校园卡是没有联系方式吧，这就是带大学生的节奏现在的大学生的智力都如此不正常吗？什么男盆友、室友都来跟人聊天，我今天看这条热搜的时候感觉莫名其妙，看聊天记录的对话都是很刻意 ...全文
TedNYC,昨天去看了我们普林斯顿主场迎战康奈尔的橄榄球比赛，普林斯顿35:9大胜，赛后校园里各种庆祝，10度的天气校乐队们泡在水池里演奏也是不怕冷！Go tigers🐯🐯🐯!!!#大学##留学##美国留学##普林斯顿##大学生# #运动员#  TedNYC的微博视频 
吉吉快跑呀,大学请假理由，百试百灵！赶紧教你的小伙伴来偷偷看！#大学生##好物推荐##爆笑课代表挑战赛# 吉吉快跑呀的微博视频 
萱萱爱长肉,这是我在学校参加的第一场团建活动😛萱萱同学#大学生# 萱萱爱长肉的微博视频 
恬欣欣的成长日记,#大学生# 恬欣欣的成长日记的微博视频 
Dlaryam_,可以帮学妹搬一下行李吗～学长学姐们🤍🤍🤍🤍🤍🤍#大学生##校园##校园生活# 
羽毛球奥运冠军高崚,#大学生##体育# 马上比赛了陪学生们练练 活动一下筋骨大家觉得我在场上可还灵活呀 大笑姑婆高崚的微博视频 
羽毛球奥运冠军高崚,#大学生##体育# 马上比赛了陪学生们练练 活动一下筋骨大家觉得我在场上可还灵活呀 大笑姑婆高崚的微博视频 
道系的小生,#西安疫情#西安大学牲能不能通通去s，这样大家就不用风控啦哈哈哈哈哈哈哈.....一起超度 极乐世界.....芜湖，西安疫情真快乐，大家幸福美满哈哈哈哈哈哈哈.....真的很快乐......哈哈哈哈哈哈哈哈好喜欢封校呀......能不能把我鲨了呀.......快来人把我鲨了啊哈哈哈哈哈......我估计11月底 都不一定能让 ...全文
杨杨吃了嘛,📒｜四六级干货：四六级考生必看备考指南🧭拼搏一个月 四六级必过！！！不仅提供方法论还手把手带做四六级题目最重要的是还会写出注意事项和小技巧⚠️真诚的希望能够对大家有所帮助！感谢抄送：@-studyaccount小组 @StudyAccount打卡bot @我的锦鲤日记 @今日进步一点点 四六级｜ ...全文
山西教育杂志社官博,【#山西教育直播间# 】学生创新创业指导系列课程——经验分享：创新创业教育与实践#创新创业# #大学生# #大学生创新创业课程# #直播# 播出时间：10月7日10：00主讲教师：高艳霞（山西工商学院就业指导中心主任）  山西教育杂志社官博的微博直播 
販經,微微风筷浪，散作满河星。我的内心是前所未有的平静#大学生##生活家# 
永威沙耶,改造摄像头游戏机游戏厅遇到的一个男生，在打游戏机（类似洗衣机一样的东西），发现他的游戏机是这样的，我起了一点警惕，拍了下来。不用指教，就是让女生警惕一下。( 凡是来我评论区跳脚的灵长雄性动物，一律按惯犯和潜在犯人定性。伤害到你们利益了，自然要打黑除恶。) #大学生#游戏机#改造游戏机# ...全文
ART四月,今年发现，大一大二（甚至高考刚结束）的朋友来问考研的越来越多了，非常早地进入到了未来出路的焦虑状态。因此四月，也是想开展一次大学生升学＆就业公益分享课，帮大家科普一下我们有多少路是可以尝试的，以及考研会遇到的问题（我们最擅长的领域啦）四月做了一份问卷征集大家对未来方向的 ...全文
永威沙耶,改造摄像头游戏机游戏厅遇到的一个男生，在打游戏机（类似洗衣机一样的东西），发现他的游戏机是这样的，我起了一点警惕，拍了下来。不用指教，就是让女生警惕一下。( 凡是来我评论区跳脚的灵长雄性动物，一律按惯犯和潜在犯人定性。伤害到你们利益了，自然要打黑除恶。) #大学生#游戏机#改造游戏机# ...全文
ART四月,今年发现，大一大二（甚至高考刚结束）的朋友来问考研的越来越多了，非常早地进入到了未来出路的焦虑状态。因此四月，也是想开展一次大学生升学＆就业公益分享课，帮大家科普一下我们有多少路是可以尝试的，以及考研会遇到的问题（我们最擅长的领域啦）四月做了一份问卷征集大家对未来方向的 ...全文
